text,rating,job_title,platform,source
"Currently, I work as a bioinformatics research associate where I analyse spatial interaction between tumor and immune cells. My research goal is to find predictive markers to better existing immunotherapy treatments.

Last semester I made a project that enabled ordinary people understand clinical notes. I identified hard to understand text using reading reading scores, expanded them using wikipedia definition and then finally condensed text using SOTA summarizer. Such a tool would be extremely helpful in developing world where doctors do not have enough time to explain every detail to patients.

Last semester I made a project on drug discovery and detecting sequential patterns across dosage levels & control time using convolution network. Please find more information here.

Previouly, I worked as a Data Science Intern at Amazon where I evaluated their customer service chatbot, MessageUs. My work uncovered faults in the architecture that prevented customer from reaching desired help page.",5,Summer Intern,careerbliss,amazon
It is a great place to work at . I have acquired many skills working with them . They have a good career choice program and great benefits.,4,Anonymous Employee,careerbliss,amazon
"In Amazon, you have to be a very proactive and driven individual to be successful. You need to ensure you are at the top of the game, fulfilling your expectation daily, and keep asking for feedbacks to be improved. Don't expect that the manager will do this for you.",3.3,Software Engineer,careerbliss,amazon
"I loved where I worked except sometimes my sleep cycle would get messed up, work-life harmony, and no work-life balance. Besides that, I got better at what I do I became more of a team player and receptive to helping others to get things done.",3.1,Intern,careerbliss,amazon
I have work for Amazon for almost two years. The workload becomes more difficult day by day. I do my best but it is very physically demanding.,3.5,Anonymous Employee,careerbliss,amazon
"I've worked at Amazon for almost a year and was transferred over to multiple warehouses. Over the year all I have experienced was bad and dishonest management and along with people playing the blame game. I would not go back here, I would not recommend this to anyone.",2.4,Anonymous Employee,careerbliss,amazon
"I have worked at Amazon since 12, 2020. It's a famous e-business company with more than 1000 employees.",5,Warehouse Associate,careerbliss,amazon
I started working for amazon when Covid-19 hit. It’s a great company to work for but I am looking for a job with more opportunities. Amazon has great shifts and pays out well but I don’t have enough time to spend with my family. I am willing to find something new that works with my time schedule.,5,Warehouse Associate,careerbliss,amazon
"The company is good at building a form of camaraderie. Everyone is equally caught up in the challenge of unloading orders and subsequently organizing them in a time-crunched manner. The job is good exercise. I am easily able to achieve 10,000-plus steps per day, which confers health benefits--https://www.health.harvard.edu/blog/10000-steps-a-day-or-fewer-2019071117305. 

The supervisors could be a little more engaging in the motivational regard. They generally are too caught up in productivity to pay too much attention to morale, but some do it better than others. One gripe I have is the limitation on hours worked. They max you out at 30 hours per week, and in order to make up the difference for my level of expenses, I have to do gig work, such as DoorDash deliveries. 

Overall, it is a great side job, and can be a great main occupation if willing to stick around to climb the corporate ladder. However, it isn't sustainable to only have this entry-level position as your single source of income.",3.1,Warehouse Associate,careerbliss,amazon
"I worked for Amazon for almost a year. My job was very simple, all I had to do was deliver packages to the correct addresses. My co workers were very friendly and i mostly worked alone. Back at the station, however, was a different story. They were very unorganized and very unprofessional. I am immensely excited to be moving forward away from the company!",3.1,Delivery Driver,careerbliss,amazon
"For the duration I was employed with Amazon, it was a ongoing, learning experience. With the position I held, there was constant opportunities to ensure your permanent position, as well as possible promotion offers. Although the position involved constant activity, it gave you a sense of pride knowing that you and your work, are responsible for the Amazon customers  receiving their purchases in a timely manner. The best reward to me was the supervisors recognizing and appreciating the hard work you display for the customers, as well as the company you're employed with.",4.5,Picker,careerbliss,amazon
"I worked for Amazon as a contract recruiter for 9+ months during the COVID-19 Pandemic. Mostly worked from home after about 2 months working there, there was no work-life balance as I converted from an On-site recruiter coordinator to a Phone Screen RC and I worked 40+ hours a week (and received contract pay) plus another side job. Wished I could have been converted full time as I gave it 100% and put in extra hours to make sure I had a positive candidate experience. As a contractor, they do not provide individual employee feedback or advice so that was challenging for my career growth.",4.5,Recruiting Coordinator,careerbliss,amazon
Having to stand and walk 10 miles a day on a 60 hour week is not reasonable. Solutions do exist to mitigate this while keeping an effective work flow. Managers could have been more effective helping workers and improving product flow..,3.3,Anonymous Employee,careerbliss,amazon
The fast-paced Company and fun to work.,3.4,Maintenance Technician,careerbliss,amazon
"Don't listen to the adverts saying how good this company is they have just picked a handful of staff who say its OK. Most people say is a horrible company to work for, your treated like a slave or a prisoner, your timed for your breaks your timed every time you go toilet and if you just go to the toilet they say were you going, your a prisoner in this place once you start working for them. They have no respect for you and all they care about is targets... don't reach your target your out and its good bye... horrible company would never work there again...",1,Anonymous Employee,careerbliss,amazon
Great place to work with lots of employee benefits and opportunity to advance.,4.5,Process Assistant,careerbliss,amazon
"Amazon is a shark tank. If you have a great deal of confidence in yourself AND are willing to make you work the #1 thing in your life, this is a fantastic place to be if you can get in. If you are not able to check both of those boxes, the experience will likely be miserable and/or short-lived.",3.6,Anonymous Employee,careerbliss,amazon
Great company to work for if you want to learn and develop your skills.,4.3,Compliance Specialist,careerbliss,amazon
"Working at an Amazon warehouse is a good experience if you want to improve your communication skills, sorting and packaging skills. You work alone with a team to support you if needed, there are a lot of growth opportunities. Amazon loves to promote within, and provide resources and free classes to improve many things, such as resume writing, leadership skills, and they provide sponsorships to specific schools and trade programs after working for a consistent year.",4.1,Anonymous Employee,careerbliss,amazon
